PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Andy Ibanez,2B,2B,TEX,@SEA,,2300,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Michael Hermosillo,OF,OF,LAA,HOU,,2000,0.0,0.0,3.4,1.7,2.4,1.2,W 7 Out
Ronnie Dawson,OF,OF,HOU,@LAA,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Kevin Cron,1B,1B,ARI,@SF,,2200,0.0,0.0,0.4,0.2,0.8,0.3,W 6 Out
Jamie Ritchie,C,C,HOU,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Nick Tanielu,2B,2B/3B,HOU,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Adolis Garcia,OF,OF,TEX,@SEA,,2200,0.0,0.0,0.7,0.3,0.7,0.3,In Dome
Pablo Sandoval,1B,1B,SF,ARI,,2600,0.0,0.0,2.6,1.0,3.0,1.2,W 6 Out
Heliot Ramos,OF,OF,SF,ARI,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Luis Campusano,C,C,SD,@OAK,,2300,0.0,0.0,9.0,3.9,9.0,3.9,W 6 L-R
Max Stassi,C,C,LAA,HOU,,2200,0.0,0.0,3.0,1.4,5.9,2.7,W 7 Out
Brandon Crawford,SS,SS,SF,ARI,,4200,0.0,0.0,12.2,2.9,6.4,1.5,W 6 Out
Dee Strange-Gordon,2B,2B/OF,SEA,TEX,,2800,0.0,0.0,2.6,0.9,2.9,1.0,In Dome
Brandon Belt,1B,1B,SF,ARI,,3800,0.0,0.0,10.0,2.6,8.1,2.1,W 6 Out
Greg Garcia,2B,2B,SD,@OAK,,2700,0.0,0.0,2.0,0.7,2.8,1.1,W 6 L-R
Webster Rivas,C,C,SD,@OAK,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Christian Walker,1B,1B,ARI,@SF,,3900,0.0,0.0,7.4,1.9,7.9,2.0,W 6 Out
Danny Santana,1B,1B,TEX,@SEA,,3700,0.0,0.0,3.2,0.9,5.6,1.5,In Dome
Willie Calhoun,OF,OF,TEX,@SEA,,2300,0.0,0.0,4.4,1.9,3.4,1.5,In Dome
Daulton Varsho,C,C/OF,ARI,@SF,,2000,0.0,0.0,5.6,2.8,3.1,1.5,W 6 Out
Nick Allen,SS,SS,OAK,SD,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Jake Meyers,OF,OF,HOU,@LAA,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Chas McCormick,OF,OF,HOU,@LAA,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
