"Name","Team","PA","Pitches","HR","AVG","OBP","SLG","OPS","SB","wOBA","wRC+","ISO","K%","GB%","LD%","FB%","HR/FB","Barrel%","EV","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","playerid"
"Tony Kemp","Athletics","75","283","0",".246",".378",".279",".657","2",".312","99",".033","17.3%","26.1%","37.0%","37.0%","0.0%","2.0%","85.9","42.8%","-2.17","","","5.0%","4.93","1.8%","-8.93","","","9.5%","0.56","10.6%","-0.58","8.1%","-3.49","0.7%","-14.45","","","21.2%","-1.61","","","","","14894"
"Pat Valaika","Orioles","82","303","5",".237",".284",".447",".731","0",".311","93",".211","18.3%","37.7%","23.0%","39.3%","20.8%","8.1%","87.3","27.4%","-4.55","","","9.6%","11.57","0.7%","71.99","","","22.4%","0.72","20.8%","-3.53","9.6%","-1.00","1.3%","-17.99","","","8.3%","-1.09","","","","","14885"
"Austin Barnes","Dodgers","65","239","1",".293",".333",".379",".713","1",".311","98",".086","27.7%","51.2%","14.6%","34.1%","7.1%","2.3%","86.0","38.9%","-0.16","","","9.2%","-3.02","0.4%","142.08","","","15.1%","2.28","15.1%","-3.72","10.9%","-6.00","0.4%","-4.12","","","10.0%","3.42","","","","","12158"
"Jose Martinez","Rays","76","294","2",".239",".329",".388",".717","0",".311","98",".149","26.3%","55.3%","21.3%","23.4%","18.2%","6.4%","87.8","33.0%","-0.02","","","8.5%","2.28","0.3%","","","","15.7%","-7.13","19.1%","-2.99","7.5%","-1.40","2.0%","-6.99","","","14.0%","-0.41","","","","","7996"
"Yadier Molina","Cardinals","57","190","1",".296",".333",".370",".704","0",".311","97",".074","10.5%","35.4%","20.8%","43.8%","4.8%","2.1%","84.5","36.8%","-3.40","","","3.7%","19.14","1.6%","-38.42","","","11.1%","4.56","32.1%","-3.65","11.1%","0.90","0.5%","-4.12","","","2.6%","-10.62","","","","","7007"
"Willson Contreras","Cubs","113","437","4",".208",".319",".396",".714","1",".311","93",".188","32.7%","45.0%","20.0%","35.0%","19.0%","16.7%","91.7","40.3%","-2.08","","","3.9%","1.94","0.7%","11.62","","","16.0%","-1.79","24.9%","-2.62","5.3%","-2.08","0.5%","-0.08","","","8.5%","3.20","","","","","11609"
"Adam Duvall","Braves","88","310","4",".247",".295",".432",".728","0",".311","92",".185","27.3%","41.4%","19.0%","39.7%","17.4%","12.1%","86.3","22.9%","1.41","","","11.0%","3.77","2.9%","-3.29","","","20.0%","-1.31","19.0%","-2.21","8.4%","2.47","3.2%","7.23","","","12.6%","-4.41","","","","","10950"
"Alex Avila","Twins","49","218","1",".162",".367",".270",".638","0",".310","93",".108","36.7%","21.1%","47.4%","31.6%","16.7%","5.3%","91.6","39.0%","-0.89","","","7.3%","-2.54","","","","","12.4%","-1.48","12.8%","-4.99","16.1%","-0.65","2.3%","-2.71","","","10.1%","-3.55","","","","","7476"
"Steven Souza Jr.","Cubs","24","113","1",".190",".292",".429",".720","1",".310","93",".238","41.7%","27.3%","27.3%","45.5%","20.0%","9.1%","87.6","36.3%","-1.97","","","8.9%","0.51","0.9%","-6.66","","","12.4%","-0.13","20.4%","-2.04","11.5%","-10.57","1.8%","-14.92","","","8.0%","13.67","","","","","5667"
"Jeff Mathis","Rangers","29","114","1",".200",".310",".400",".710","1",".310","85",".200","31.0%","46.7%","13.3%","40.0%","16.7%","6.3%","87.8","34.2%","-4.14","","","7.0%","-8.38","","","","","17.5%","2.79","26.3%","-1.66","7.9%","-3.12","","","","","7.0%","-4.67","","","","","3448"
"Tommy Edman","Cardinals","84","338","1",".253",".333",".360",".693","1",".309","95",".107","20.2%","49.1%","21.1%","29.8%","5.9%","3.5%","85.2","32.8%","1.29","","","9.2%","-1.44","2.1%","10.25","","","13.3%","0.49","12.1%","-3.49","13.0%","-0.42","4.4%","1.44","","","12.7%","-3.64","","","","","19470"
"Darin Ruf","Giants","52","217","1",".239",".327",".370",".696","1",".309","96",".130","25.0%","33.3%","36.4%","30.3%","10.0%","6.1%","87.6","41.9%","-1.95","","","3.2%","-2.28","0.9%","0.00","","","8.8%","-2.16","19.4%","3.18","11.1%","1.12","4.2%","1.88","","","10.6%","-2.99","","","","","9929"
"Isiah Kiner-Falefa","Rangers","109","371","1",".270",".330",".370",".700","6",".309","84",".100","17.4%","55.6%","19.8%","24.7%","5.0%","2.5%","88.7","35.0%","-0.04","","","3.8%","-3.28","0.3%","","","","18.6%","-0.65","16.7%","-1.84","11.9%","-4.00","1.6%","-6.50","","","12.1%","0.02","","","","","16512"
"Orlando Arcia","Brewers","85","340","1",".253",".341",".347",".688","2",".309","91",".093","12.9%","49.2%","20.6%","30.2%","5.3%","1.6%","88.3","25.6%","-3.05","","","11.8%","-3.88","0.3%","1.90","","","20.6%","-2.30","17.7%","-3.91","10.9%","-1.31","4.7%","-9.43","","","8.2%","2.23","","","","","13185"
"Cody Bellinger","Dodgers","144","540","8",".221",".292",".443",".734","2",".309","96",".221","17.4%","37.1%","23.8%","39.0%","19.5%","8.5%","89.4","36.9%","-1.43","","","5.6%","-4.05","2.0%","0.77","","","13.0%","-1.05","17.0%","2.71","11.1%","-3.86","1.7%","-7.53","","","12.8%","-4.04","","","","","15998"
"Lourdes Gurriel Jr.","Blue Jays","116","432","4",".248",".302",".419",".721","1",".308","93",".171","20.7%","38.6%","24.1%","37.3%","12.9%","7.2%","89.4","29.9%","2.23","","","11.1%","-1.82","2.1%","-0.32","","","13.4%","-3.36","17.6%","-3.30","10.2%","0.52","2.8%","-3.88","","","13.0%","-2.57","","","","","19238"
"Keston Hiura","Brewers","134","529","7",".231",".299",".421",".720","3",".307","90",".190","32.8%","42.3%","21.8%","35.9%","25.0%","11.5%","87.8","30.6%","-0.79","","","8.9%","3.41","0.6%","-19.21","","","22.9%","-3.14","15.9%","0.92","6.6%","-4.31","3.6%","2.23","","","11.0%","-1.33","","","","","20003"
"Christian Vazquez","Red Sox","109","434","4",".260",".294",".423",".717","1",".307","88",".163","27.5%","44.6%","16.2%","39.2%","13.8%","5.4%","87.4","31.1%","-1.30","","","6.0%","-0.27","0.9%","-6.78","","","24.2%","-0.88","17.1%","-4.09","9.0%","-1.49","1.8%","-8.50","","","9.9%","1.52","","","","","9774"
"Nick Ahmed","Diamondbacks","124","478","3",".254",".315",".386",".700","2",".306","90",".132","22.6%","54.1%","16.5%","29.4%","12.0%","4.7%","89.7","29.1%","-0.13","","","4.8%","7.86","1.5%","17.78","","","18.6%","1.39","25.9%","-0.91","5.4%","-6.30","2.3%","-5.44","","","12.3%","-5.56","","","","","12147"
"Ryan O'Hearn","Royals","81","337","1",".246",".346",".362",".708","0",".306","89",".116","27.2%","44.7%","19.1%","36.2%","5.9%","8.3%","89.8","31.5%","3.11","","","11.3%","-0.15","4.2%","-5.81","","","14.5%","-0.49","13.1%","-5.26","8.9%","-4.45","2.7%","-7.41","","","14.0%","-5.17","","","","","16442"
"Victor Reyes","Tigers","96","331","2",".264",".302",".407",".709","5",".306","90",".143","18.8%","43.8%","24.7%","31.5%","8.7%","4.1%","89.4","34.1%","-2.29","","","10.3%","-2.50","","","","","13.0%","3.32","9.7%","5.44","13.9%","-0.58","7.0%","-7.26","","","12.1%","-0.12","","","","","15487"
"Victor Robles","Nationals","98","405","2",".247",".327",".365",".691","1",".306","87",".118","29.6%","34.5%","36.2%","29.3%","11.8%","1.7%","83.7","35.8%","-1.23","","","7.7%","3.00","2.2%","-3.59","","","16.5%","1.33","22.7%","-3.12","4.9%","-2.24","1.7%","-3.09","","","8.4%","0.82","","","","","18363"
"Mike Moustakas","Reds","61","243","2",".216",".328",".353",".681","0",".305","87",".137","27.9%","31.4%","25.7%","42.9%","13.3%","2.9%","87.8","35.0%","-0.63","","","4.5%","-2.05","0.8%","11.92","","","10.3%","-1.94","14.0%","-4.50","16.9%","-6.15","2.1%","-6.21","","","15.6%","-3.25","","","","","4892"
"Sean Murphy","Athletics","79","334","2",".209",".329",".343",".672","0",".304","93",".134","30.4%","41.9%","20.9%","37.2%","12.5%","9.3%","92.6","34.4%","0.64","","","9.6%","-0.62","0.3%","-6.66","","","12.3%","-4.84","18.9%","-4.28","10.5%","0.54","2.4%","-2.10","","","11.7%","-7.32","","","","","19352"
"Andrew McCutchen","Phillies","106","410","3",".265",".311",".388",".699","3",".304","88",".122","15.1%","31.3%","22.9%","45.8%","7.9%","4.8%","88.5","31.7%","-0.44","","","7.1%","4.01","1.2%","-4.40","","","17.1%","-2.41","20.2%","-1.00","11.7%","-5.06","3.2%","-0.64","","","7.8%","-5.55","","","","","9847"
"Cedric Mullins II","Orioles","59","235","1",".269",".333",".346",".679","3",".303","88",".077","27.1%","46.7%","16.7%","36.7%","9.1%","2.6%","86.5","34.5%","0.00","","","11.9%","0.19","3.0%","-1.01","","","19.6%","-0.45","9.4%","-3.22","10.6%","-3.96","1.7%","7.35","","","9.4%","-3.70","","","","","17929"
"Brett Gardner","Yankees","73","306","3",".183",".315",".367",".682","3",".303","90",".183","28.8%","36.8%","18.4%","44.7%","17.6%","2.5%","87.8","31.1%","-0.95","","","11.1%","-3.16","3.6%","5.83","","","14.4%","0.59","14.4%","-7.32","8.8%","3.07","2.0%","-7.22","","","14.7%","0.07","","","","","9927"
"Alex Jackson","Braves","7","26","0",".286",".286",".429",".714","0",".303","87",".143","57.1%","33.3%","33.3%","33.3%","0.0%","0.0%","79.4","15.4%","-0.65","","","","","","","","","34.6%","1.26","26.9%","-3.15","7.7%","4.96","","","","","15.4%","-11.14","","","","","17276"
"J.P. Crawford","Mariners","141","565","1",".246",".340",".328",".668","5",".302","93",".082","18.4%","41.2%","26.8%","32.0%","3.2%","3.1%","86.6","43.2%","0.26","","","2.8%","1.22","2.3%","-0.09","","","17.5%","-2.39","10.1%","-5.31","7.6%","-4.27","1.4%","3.80","","","15.0%","-3.52","","","","","15491"
"Delino DeShields","Indians","49","181","0",".279",".354",".302",".656","1",".301","84",".023","24.5%","55.2%","20.7%","24.1%","0.0%","0.0%","84.6","41.4%","-1.06","","","6.1%","-3.59","0.6%","-6.66","","","16.6%","2.78","18.8%","-4.80","12.7%","-2.81","","","","","3.9%","-6.30","","","","","11379"
"Kurt Suzuki","Nationals","66","247","1",".271",".318",".373",".691","0",".300","84",".102","13.6%","30.8%","21.2%","48.1%","4.0%","1.9%","84.3","30.0%","4.07","","","6.9%","-5.33","2.0%","-0.25","","","17.8%","-4.58","23.9%","-2.68","10.5%","-2.39","3.6%","-4.88","","","5.3%","5.30","","","","","8259"
"Jonathan Arauz","Red Sox","40","158","0",".308",".325",".359",".684","0",".300","83",".051","15.0%","27.3%","48.5%","24.2%","0.0%","0.0%","84.0","36.7%","-1.13","","","6.3%","-4.00","","","","","18.4%","2.21","9.5%","-0.57","10.8%","-1.14","1.9%","-3.86","","","16.5%","-1.87","","","","","20275"
"Luis Arraez","Twins","90","373","0",".284",".344",".321",".665","0",".299","86",".037","12.2%","40.8%","31.0%","28.2%","0.0%","4.2%","86.8","44.5%","-1.05","","","6.7%","0.17","0.8%","-8.16","","","12.3%","-0.10","17.7%","-5.05","8.9%","2.89","2.1%","-13.57","","","6.7%","-2.01","","","","","18568"
"Victor Caratini","Cubs","76","308","0",".254",".342",".328",".670","0",".299","86",".075","26.3%","53.2%","19.1%","27.7%","0.0%","2.1%","86.6","35.7%","-3.21","","","3.3%","3.09","1.3%","6.95","","","13.6%","0.90","15.3%","-1.49","11.4%","-1.49","2.3%","-4.65","","","16.9%","1.06","","","","","14968"
"Matt Carpenter","Cardinals","78","327","1",".190",".346",".286",".632","0",".299","89",".095","28.2%","36.6%","22.0%","41.5%","5.9%","7.3%","89.1","33.9%","-1.27","","","7.0%","5.21","2.8%","-2.27","","","15.0%","0.22","15.6%","-2.82","10.1%","-0.82","0.9%","-1.08","","","14.4%","-3.52","","","","","8090"
"Jorge Polanco","Twins","129","489","2",".275",".315",".367",".682","1",".299","86",".092","10.9%","43.4%","20.8%","35.8%","5.3%","1.9%","84.9","32.9%","-1.48","","","6.1%","-6.37","0.6%","","","","11.3%","-1.82","12.9%","-1.73","13.5%","-1.73","1.8%","-2.23","","","20.7%","-2.09","","","","","13152"
"Jackie Bradley Jr.","Red Sox","101","396","2",".253",".317",".363",".679","0",".299","82",".110","23.8%","64.7%","11.8%","23.5%","12.5%","4.4%","86.7","41.9%","1.94","","","4.6%","-4.18","3.8%","-7.37","","","15.4%","-1.56","10.4%","-6.15","9.3%","-3.48","1.5%","-5.79","","","13.1%","-0.68","","","","","12984"
"Bradley Zimmer","Indians","50","213","1",".162",".360",".243",".603","2",".298","82",".081","28.0%","47.8%","8.7%","43.5%","10.0%","4.2%","84.1","38.5%","-1.89","","","8.0%","2.37","1.9%","-11.96","","","10.3%","-5.42","15.5%","-1.19","10.8%","-0.04","1.4%","7.71","","","13.6%","-1.12","","","","","16221"
"Shin-Soo Choo","Rangers","90","350","3",".228",".311",".380",".691","4",".298","77",".152","26.7%","45.5%","21.8%","32.7%","16.7%","10.7%","88.6","36.3%","0.99","","","6.0%","-0.67","0.9%","2.17","","","15.4%","-4.34","15.1%","-2.15","10.3%","-1.15","2.3%","-10.63","","","13.7%","-0.92","","","","","3174"
"Jonathan Villar","Marlins","118","454","2",".264",".325",".358",".683","9",".298","89",".094","25.4%","58.4%","18.2%","23.4%","11.1%","2.6%","86.0","36.3%","-1.17","","","6.8%","-2.94","3.1%","1.21","","","13.0%","0.84","14.8%","-3.02","7.3%","-2.50","1.5%","-4.34","","","17.2%","0.41","","","","","10071"
"Marwin Gonzalez","Twins","113","455","3",".242",".319",".354",".672","0",".297","84",".111","20.4%","37.7%","27.3%","35.1%","11.1%","2.6%","89.9","29.2%","-1.39","","","6.2%","2.40","","","","","11.2%","-3.78","19.6%","-3.75","16.5%","0.88","3.5%","-7.77","","","13.4%","3.71","","","","","5497"
"Brett Phillips","Royals","34","140","1",".226",".294",".387",".681","3",".295","82",".161","23.5%","45.5%","31.8%","22.7%","20.0%","4.4%","81.4","37.1%","4.75","","","2.1%","1.42","5.0%","-0.39","","","19.3%","-1.68","12.1%","-8.06","5.7%","2.79","2.1%","-10.84","","","16.4%","-1.17","","","","","14735"
"Josh Naylor","Padres","34","129","0",".281",".324",".344",".667","1",".295","86",".063","11.8%","53.6%","21.4%","25.0%","0.0%","0.0%","86.4","30.2%","1.75","","","3.9%","-9.53","3.9%","8.92","","","14.7%","-0.28","20.9%","-0.66","3.9%","4.50","6.2%","-8.40","","","15.5%","-3.38","","","","","18839"
"Jeff McNeil","Mets","95","348","0",".259",".337",".321",".658","0",".295","88",".062","13.7%","43.7%","28.2%","28.2%","0.0%","2.8%","85.7","33.6%","-2.79","","","7.2%","0.07","4.3%","-1.88","","","12.6%","1.03","17.2%","-3.20","8.6%","-4.22","4.6%","-6.19","","","11.8%","6.87","","","","","15362"
"Roman Quinn","Phillies","67","277","1",".254",".299",".381",".679","6",".295","82",".127","25.4%","45.0%","27.5%","27.5%","9.1%","2.2%","86.9","36.5%","-2.26","","","9.8%","2.38","0.4%","1.90","","","12.3%","2.19","11.9%","-1.25","15.2%","-2.86","3.6%","-0.49","","","10.5%","1.82","","","","","13546"
"Shohei Ohtani","Angels","108","440","5",".188",".278",".406",".684","4",".295","86",".219","26.9%","52.2%","14.9%","32.8%","22.7%","11.9%","89.5","31.6%","-1.96","","","7.3%","-5.98","4.3%","2.45","","","15.9%","4.62","13.4%","-5.95","10.2%","-1.44","2.3%","-9.38","","","15.0%","-4.26","","","","","19755"
"Corey Dickerson","Marlins","96","394","3",".247",".302",".371",".673","0",".295","87",".124","16.7%","46.6%","16.4%","37.0%","11.1%","5.5%","85.9","37.1%","0.33","","","5.6%","-0.89","6.1%","-4.77","","","12.9%","-1.84","16.2%","-2.00","6.4%","-6.98","2.5%","22.58","","","13.2%","-5.35","","","","","10762"
"Miguel Cabrera","Tigers","123","474","4",".219",".317",".343",".660","0",".295","83",".124","18.7%","46.4%","27.4%","26.2%","18.2%","4.8%","91.9","33.8%","-1.33","","","6.6%","0.38","0.4%","22.30","","","13.7%","-0.01","23.3%","-4.34","7.8%","-5.15","3.0%","12.45","","","11.4%","-5.24","","","","","1744"
"Gleyber Torres","Yankees","91","375","1",".231",".341",".295",".636","0",".294","84",".064","18.7%","42.6%","16.4%","41.0%","4.0%","1.6%","87.4","27.7%","-1.51","","","8.0%","-1.58","1.1%","7.02","","","13.3%","1.83","24.5%","-4.26","13.1%","-3.75","3.5%","-4.44","","","8.8%","0.88","","","","","16997"
"Estevan Florial","Yankees","3","15","0",".333",".333",".333",".667","0",".294","84",".000","66.7%","0.0%","100.0%","0.0%","0.0%","0.0%","75.5","20.0%","-2.63","","","6.7%","","","","","","6.7%","-5.65","","","","","","","","","66.7%","2.84","","","","","19151"
"Marcus Semien","Athletics","148","609","5",".234",".291",".387",".677","3",".294","87",".153","22.3%","33.7%","20.2%","46.2%","10.4%","4.8%","87.1","33.6%","-0.70","","","10.2%","-0.35","1.0%","-5.77","","","17.4%","0.69","18.1%","-2.53","8.2%","-2.97","0.8%","-8.00","","","10.5%","-4.14","","","","","12533"
"Yoshitomo Tsutsugo","Rays","98","455","4",".173",".306",".346",".652","0",".292","86",".173","22.4%","41.7%","15.0%","43.3%","15.4%","6.7%","89.5","38.5%","-2.26","","","8.4%","4.02","4.8%","-0.72","","","12.5%","-3.30","13.6%","-3.32","10.6%","-0.10","1.1%","-8.03","","","10.6%","-2.67","","","","","27459"
"Rio Ruiz","Orioles","101","406","6",".191",".270",".427",".697","1",".292","80",".236","26.7%","41.3%","14.3%","44.4%","21.4%","7.8%","87.3","33.0%","-0.75","","","10.6%","-0.70","4.2%","-8.54","","","14.0%","0.53","11.3%","4.34","15.3%","-4.81","0.5%","-1.62","","","11.1%","-2.24","","","","","14103"
"David Bote","Cubs","82","349","4",".203",".280",".392",".672","0",".292","81",".189","28.0%","52.9%","15.7%","31.4%","25.0%","13.7%","92.7","37.8%","0.22","","","6.6%","2.32","0.6%","-3.33","","","14.0%","-3.20","20.9%","-4.59","9.2%","-5.49","0.3%","-4.12","","","10.0%","-9.50","","","","","14593"
"Nico Hoerner","Cubs","72","297","0",".246",".347",".279",".626","2",".291","81",".033","19.4%","54.2%","29.2%","16.7%","0.0%","2.1%","90.3","34.7%","-1.87","","","7.1%","3.31","1.0%","-12.86","","","17.9%","-0.94","22.9%","-1.43","6.7%","-3.13","2.0%","-5.74","","","7.7%","-9.07","","","","","21479"
"Adam Eaton","Nationals","114","457","3",".231",".292",".375",".667","1",".291","78",".144","19.3%","51.3%","21.3%","27.5%","13.6%","4.8%","89.0","41.6%","0.66","","","4.2%","-3.77","3.5%","-2.38","","","13.6%","-5.01","14.2%","-4.29","7.2%","-3.47","0.7%","-2.12","","","15.1%","-0.91","","","","","11205"
"Edwin Encarnacion","White Sox","89","394","5",".177",".261",".418",".679","0",".291","83",".241","33.7%","44.9%","14.3%","40.8%","25.0%","14.0%","84.0","29.7%","-1.42","","","4.6%","2.69","0.5%","0.14","","","16.2%","2.03","27.9%","-4.12","9.9%","-3.22","0.8%","42.13","","","10.4%","4.82","","","","","2151"
"Joey Votto","Reds","106","417","3",".191",".321",".326",".647","0",".291","77",".135","13.2%","42.7%","20.0%","37.3%","10.7%","4.0%","85.3","34.8%","-2.97","","","5.0%","-2.57","1.0%","9.49","","","22.5%","-2.11","11.3%","-1.74","10.1%","-4.19","1.7%","-4.23","","","13.7%","-6.14","","","","","4314"
"Kevin Kiermaier","Rays","92","376","0",".225",".326",".313",".639","5",".290","84",".088","26.1%","60.7%","23.2%","16.1%","0.0%","3.6%","88.1","29.1%","-3.43","","","4.0%","-2.93","5.6%","-7.98","","","15.0%","-2.98","15.5%","0.86","13.6%","-0.18","3.2%","-1.86","","","13.9%","0.11","","","","","11038"
"Jose Peraza","Red Sox","98","328","0",".253",".306",".352",".658","0",".290","76",".099","11.2%","36.3%","22.5%","41.3%","0.0%","3.8%","85.8","33.2%","-1.87","","","8.8%","-2.82","1.8%","10.02","","","17.7%","1.94","14.6%","-8.52","9.2%","-2.95","2.7%","7.98","","","11.9%","-4.47","","","","","13593"
"Jorge Mateo","Padres","15","59","0",".231",".286",".385",".670","0",".290","82",".154","33.3%","0.0%","50.0%","50.0%","0.0%","0.0%","94.9","30.5%","0.52","","","3.4%","3.92","","","","","8.5%","2.94","33.9%","-9.61","6.8%","-10.32","","","","","17.0%","10.38","","","","","17273"
"Rafael Devers","Red Sox","129","510","4",".223",".271",".405",".676","0",".290","76",".182","29.5%","42.2%","20.5%","37.3%","12.9%","9.6%","91.0","40.0%","-2.59","","","5.9%","-1.77","5.7%","-4.43","","","12.6%","1.07","13.5%","-4.70","8.2%","-1.41","2.8%","0.77","","","11.4%","3.05","","","","","17350"
"Daniel Murphy","Rockies","101","381","3",".258",".300",".376",".676","0",".290","64",".118","16.8%","40.3%","22.1%","37.7%","10.3%","6.4%","85.2","36.8%","0.45","","","10.8%","-0.47","1.1%","10.11","","","17.6%","-0.94","15.2%","-2.92","7.9%","-4.96","1.3%","-10.39","","","8.9%","-6.31","","","","","4316"
"Dwight Smith Jr.","Orioles","72","287","2",".222",".306",".365",".671","1",".289","78",".143","26.4%","51.1%","17.8%","31.1%","14.3%","6.7%","89.9","29.3%","3.67","","","5.2%","-8.25","4.9%","-3.37","","","16.0%","-2.20","15.3%","-3.49","12.5%","0.38","1.1%","-10.81","","","15.7%","-5.92","","","","","13473"
"Michael Chavis","Red Sox","66","281","2",".226",".273",".403",".676","1",".289","75",".177","42.4%","47.1%","26.5%","26.5%","22.2%","5.9%","88.8","33.8%","-1.06","","","7.8%","-2.80","0.7%","-34.72","","","21.0%","-1.40","11.7%","-1.10","3.6%","8.63","1.8%","-5.86","","","19.6%","-2.25","","","","","17321"
"Nomar Mazara","White Sox","66","285","0",".241",".333",".293",".626","0",".289","82",".052","31.8%","48.6%","27.0%","24.3%","0.0%","8.1%","88.1","30.2%","-0.20","","","7.7%","-2.07","2.5%","3.36","","","16.5%","-1.97","14.4%","-3.64","13.0%","-0.34","2.5%","-0.01","","","13.0%","-3.06","","","","","14553"
"J.D. Martinez","Red Sox","128","505","3",".205",".297",".366",".663","0",".288","75",".161","22.7%","36.9%","23.8%","39.3%","9.1%","9.5%","88.8","33.3%","-0.92","","","9.9%","2.13","1.8%","-13.26","","","14.7%","-4.22","17.4%","-2.83","6.5%","0.40","2.6%","-1.77","","","13.9%","-5.21","","","","","6184"
