Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2B/3B,Bret Boswell (15414795),Bret Boswell,15414795,2B/3B,2300,OAK@COL 09/16/2020 03:10PM ET,COL,0
2B/SS,Edmundo Sosa (15414797),Edmundo Sosa,15414797,2B/SS,2300,STL@MIL 09/16/2020 05:10PM ET,STL,0
3B,Malcolm Nunez (15414799),Malcolm Nunez,15414799,3B,2300,STL@MIL 09/16/2020 05:10PM ET,STL,0
1B,Jake Lamb (15414752),Jake Lamb,15414752,1B,2200,OAK@COL 09/16/2020 03:10PM ET,OAK,3.35
OF,Yonathan Daza (15414803),Yonathan Daza,15414803,OF,2200,OAK@COL 09/16/2020 03:10PM ET,COL,0
SS,Eric Stamets (15414804),Eric Stamets,15414804,SS,2200,OAK@COL 09/16/2020 03:10PM ET,COL,0
SS,Owen Miller (15414800),Owen Miller,15414800,SS,2200,LAD@SD 09/16/2020 04:10PM ET,SD,0
3B/SS,Tucupita Marcano (15414801),Tucupita Marcano,15414801,3B/SS,2200,LAD@SD 09/16/2020 04:10PM ET,SD,0
C,Jacob Nottingham (15414751),Jacob Nottingham,15414751,C,2200,STL@MIL 09/16/2020 05:10PM ET,MIL,4.91
3B,Nolan Gorman (15414805),Nolan Gorman,15414805,3B,2200,STL@MIL 09/16/2020 05:10PM ET,STL,0
3B,Elehuris Montero (15414806),Elehuris Montero,15414806,3B,2200,STL@MIL 09/16/2020 05:10PM ET,STL,0
2B,Max Schrock (15414807),Max Schrock,15414807,2B,2200,STL@MIL 09/16/2020 05:10PM ET,STL,1.82
OF,Justin Williams (15414808),Justin Williams,15414808,OF,2200,STL@MIL 09/16/2020 05:10PM ET,STL,0
1B,David Freitas (15414809),David Freitas,15414809,1B,2200,STL@MIL 09/16/2020 05:10PM ET,MIL,0
C,Eliezer Alfonzo (15414824),Eliezer Alfonzo,15414824,C,2100,OAK@COL 09/16/2020 03:10PM ET,COL,0
C,Chris Rabago (15414825),Chris Rabago,15414825,C,2100,OAK@COL 09/16/2020 03:10PM ET,COL,0
C,Austin Barnes (15414753),Austin Barnes,15414753,C,2100,LAD@SD 09/16/2020 04:10PM ET,LAD,5.6
3B,Eric Sogard (15414754),Eric Sogard,15414754,3B,2100,STL@MIL 09/16/2020 05:10PM ET,MIL,3.79
OF,Tyrone Taylor (15414755),Tyrone Taylor,15414755,OF,2100,STL@MIL 09/16/2020 05:10PM ET,MIL,5
C,Ivan Herrera (15414810),Ivan Herrera,15414810,C,2100,STL@MIL 09/16/2020 05:10PM ET,STL,0
SS,Masyn Winn (15414811),Masyn Winn,15414811,SS,2100,STL@MIL 09/16/2020 05:10PM ET,STL,0
OF,Tre Fletcher (15414812),Tre Fletcher,15414812,OF,2100,STL@MIL 09/16/2020 05:10PM ET,STL,0
3B,Jordan Walker (15414813),Jordan Walker,15414813,3B,2100,STL@MIL 09/16/2020 05:10PM ET,STL,0
C,Jose Godoy (15414814),Jose Godoy,15414814,C,2100,STL@MIL 09/16/2020 05:10PM ET,STL,0
1B/3B,Ryon Healy (15414815),Ryon Healy,15414815,1B/3B,2100,STL@MIL 09/16/2020 05:10PM ET,MIL,1
OF,Mark Mathias (15414817),Mark Mathias,15414817,OF,2100,STL@MIL 09/16/2020 05:10PM ET,MIL,3.31
OF,Corey Ray (15414818),Corey Ray,15414818,OF,2100,STL@MIL 09/16/2020 05:10PM ET,MIL,0
OF,Tristen Lutz (15414819),Tristen Lutz,15414819,OF,2100,STL@MIL 09/16/2020 05:10PM ET,MIL,0
1B/OF,Thomas Dillard (15414820),Thomas Dillard,15414820,1B/OF,2100,STL@MIL 09/16/2020 05:10PM ET,MIL,0
C,Mario Feliciano (15414822),Mario Feliciano,15414822,C,2100,STL@MIL 09/16/2020 05:10PM ET,MIL,0
SS,Brice Turang (15414823),Brice Turang,15414823,SS,2100,STL@MIL 09/16/2020 05:10PM ET,MIL,0
OF,Seth Brown (15414760),Seth Brown,15414760,OF,2000,OAK@COL 09/16/2020 03:10PM ET,OAK,0
2B/OF,Nate Orf (15414761),Nate Orf,15414761,2B/OF,2000,OAK@COL 09/16/2020 03:10PM ET,OAK,0
2B,Tony Kemp (15414763),Tony Kemp,15414763,2B,2000,OAK@COL 09/16/2020 03:10PM ET,OAK,3.39
OF,Luis Barrera (15414835),Luis Barrera,15414835,OF,2000,OAK@COL 09/16/2020 03:10PM ET,OAK,0
OF,Dustin Fowler (15414836),Dustin Fowler,15414836,OF,2000,OAK@COL 09/16/2020 03:10PM ET,OAK,0
OF,Greg Deichmann (15414837),Greg Deichmann,15414837,OF,2000,OAK@COL 09/16/2020 03:10PM ET,OAK,0
OF,Brayan Buelvas (15414838),Brayan Buelvas,15414838,OF,2000,OAK@COL 09/16/2020 03:10PM ET,OAK,0
C,Tyler Soderstrom (15414839),Tyler Soderstrom,15414839,C,2000,OAK@COL 09/16/2020 03:10PM ET,OAK,0
2B,Sheldon Neuse (15414840),Sheldon Neuse,15414840,2B,2000,OAK@COL 09/16/2020 03:10PM ET,OAK,0
OF,Jorge Ona (15414758),Jorge Ona,15414758,OF,2000,LAD@SD 09/16/2020 04:10PM ET,SD,7
C,Francisco Mejia (15414827),Francisco Mejia,15414827,C,2000,LAD@SD 09/16/2020 04:10PM ET,SD,2.38
C,Luis Campusano (15414829),Luis Campusano,15414829,C,2000,LAD@SD 09/16/2020 04:10PM ET,SD,18
SS,CJ Abrams (15414830),CJ Abrams,15414830,SS,2000,LAD@SD 09/16/2020 04:10PM ET,SD,0
C,Webster Rivas (15414831),Webster Rivas,15414831,C,2000,LAD@SD 09/16/2020 04:10PM ET,SD,0
OF,Robert Hassell III (15414832),Robert Hassell III,15414832,OF,2000,LAD@SD 09/16/2020 04:10PM ET,SD,0
OF,Hudson Head (15414833),Hudson Head,15414833,OF,2000,LAD@SD 09/16/2020 04:10PM ET,SD,0
SS,Gabriel Arias (15414834),Gabriel Arias,15414834,SS,2000,LAD@SD 09/16/2020 04:10PM ET,SD,0
