PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Joey Gallo,OF,TEX,@HOU,3,3300,9.4,2.8,4.8,1.5,10.1,3.1,In Dome
Willson Contreras,C1,CHC,@PIT,5,2800,9.4,3.3,8.8,3.1,8.6,3.1,W 8 Out
Michael Chavis,2B,BOS,ATL,9,2400,9.3,3.9,1.2,0.5,6.4,2.7,W 10 R-L
Teoscar Hernandez,OF,TOR,@MIA,4,3700,9.3,2.5,12.4,3.4,13.3,3.6,In Dome
Josh Naylor,OF,CLE,@KC,7,2300,9.3,4.0,7.6,3.3,5.0,2.2,W 4 R-L
A.J. Pollock,OF,LAD,ARI,4,2800,9.3,3.3,4.2,1.5,9.3,3.3,W 6 Out
Jason Castro,C1,SD,@LAA,9,2200,9.2,4.2,3.7,1.7,6.7,3.0,W 7 Out
Justin Smoak,C1,MIL,DET,4,2700,9.2,3.4,1.8,0.7,7.8,2.9,In Dome
Jesus Aguilar,C1,MIA,TOR,4,2900,9.2,3.2,8.3,2.9,10.5,3.6,In Dome
J.T. Realmuto,C1,PHI,WAS,4,3600,9.2,2.6,10.5,2.9,13.0,3.6,W 8 Out
Alex Gordon,OF,KC,CLE,6,2300,9.2,4.0,9.1,4.0,6.3,2.7,W 4 R-L
Josh Reddick,OF,HOU,TEX,7,2400,9.2,3.8,7.6,3.2,8.1,3.4,In Dome
Adam Duvall,OF,ATL,@BOS,7,2400,9.1,3.8,6.2,2.6,7.0,2.9,W 10 R-L
Omar Narvaez,C1,MIL,DET,7,2100,9.1,4.3,3.0,1.5,5.1,2.4,In Dome
Lourdes Gurriel,OF,TOR,@MIA,7,2700,9.1,3.4,10.3,3.8,9.0,3.3,In Dome
Pedro Severino,C1,BAL,NYM,5,2800,9.1,3.3,3.1,1.1,9.9,3.6,W 9 Out
Christin Stewart,OF,DET,@MIL,7,2100,9.1,4.3,7.5,3.6,5.2,2.5,In Dome
Gavin Lux,2B,LAD,ARI,8,2500,9.1,3.6,3.0,1.2,3.0,1.2,W 6 Out
Brandon Lowe,2B,TB,@NYY,5,3500,9.1,2.6,6.2,1.8,13.1,3.7,W 9 R-L
Luis Arraez,2B,MIN,CWS,6,2100,9.1,4.3,5.0,2.4,6.1,2.9,W 8 R-L
Nomar Mazara,OF,CWS,@MIN,8,2100,9.0,4.3,5.7,2.7,5.8,2.8,W 8 R-L
Yasmani Grandal,C1,CWS,@MIN,3,2800,9.0,3.2,8.6,3.1,9.0,3.2,W 8 R-L
Rio Ruiz,3B,BAL,NYM,7,2700,9.0,3.3,4.9,1.8,8.7,3.2,W 9 Out
Didi Gregorius,SS,PHI,WAS,6,3000,8.9,3.0,13.7,4.6,11.0,3.7,W 8 Out
Aaron Hicks,OF,NYY,TB,3,2800,8.9,3.2,8.0,2.9,8.4,3.0,W 9 R-L
Jose Martinez,OF,CHC,@PIT,7,2500,8.9,3.6,4.4,1.8,6.9,2.8,W 8 Out
Jo Adell,OF,LAA,SD,7,2100,8.9,4.3,10.7,5.1,5.4,2.6,W 7 Out
Gio Urshela,3B,NYY,TB,5,3200,8.9,2.8,10.7,3.3,11.1,3.5,W 9 R-L
Luis Urias,3B,MIL,DET,1,2400,8.9,3.7,5.6,2.3,6.4,2.7,In Dome
Cameron Maybin,OF,CHC,@PIT,8,2200,8.9,4.0,8.6,3.9,6.1,2.8,W 8 Out
Willi Castro,3B,DET,@MIL,5,2400,8.7,3.6,14.3,6.0,10.2,4.2,In Dome
Colin Moran,3B,PIT,CHC,4,2700,8.7,3.2,15.4,5.7,10.9,4.1,W 8 Out
Yadier Molina,C1,STL,@CIN,6,2500,8.7,3.5,6.9,2.8,7.5,3.0,W 7 Out
Cam Gallagher,C1,KC,CLE,9,2100,8.7,4.1,8.1,3.9,5.8,2.7,W 4 R-L
Avisail Garcia,OF,MIL,DET,6,2600,8.7,3.3,5.0,1.9,7.5,2.9,In Dome
Howie Kendrick,2B,WAS,@PHI,5,2800,8.7,3.1,10.6,3.8,8.4,3.0,W 8 Out
Kurt Suzuki,C1,WAS,@PHI,7,2100,8.7,4.1,7.9,3.8,7.8,3.7,W 8 Out
Joey Bart,C1,SF,@COL,7,2900,8.6,3.0,5.0,1.7,5.9,2.0,W 3 R-L
David Fletcher,2B,LAA,SD,1,3000,8.6,2.9,8.2,2.7,10.6,3.5,W 7 Out
Jackie Bradley,OF,BOS,ATL,8,2300,8.6,3.7,5.6,2.4,6.8,3.0,W 10 R-L
Albert Pujols,C1,LAA,SD,6,2700,8.6,3.2,8.8,3.3,8.7,3.2,W 7 Out
Eric Thames,C1,WAS,@PHI,6,2500,8.6,3.4,7.3,2.9,5.5,2.2,W 8 Out
Alex Avila,C1,MIN,CWS,8,2200,8.6,3.9,0.6,0.3,5.0,2.3,W 8 R-L
Josh Fuentes,C1,COL,SF,8,3000,8.5,2.8,5.5,1.9,4.6,1.5,W 3 R-L
Jordan Luplow,OF,CLE,@KC,6,2200,8.5,3.9,3.1,1.4,4.7,2.2,W 4 R-L
