"Name","Team","HR/9","HR/FB","ERA","FIP","xFIP","WHIP","Strikes","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","GS","Start-IP","playerid"
"Ben Braymer","Nationals","0.00","0.0%","6.75","3.94","6.87","3.75","21","68.3%","2.09","","","","","","","","","","","","","12.2%","11.01","","","","","19.5%","-9.08","","","","","0","","20175"
"Dany Jimenez","Giants","0.00","0.0%","6.75","8.44","11.37","3.00","17","48.7%","-0.96","","","2.7%","-3.63","","","","","","","","","48.7%","5.98","","","","","","","","","","","0","","21170"
"Craig Stammen","Padres","1.04","14.3%","6.75","4.17","4.25","1.38","179","","","","","","","","","","","70.9%","-1.03","18.0%","5.28","","","9.7%","0.02","","","1.4%","2.27","","","","","0","","7274"
"Walker Lockett","- - -","0.87","9.1%","6.97","4.35","5.17","1.74","109","4.4%","6.45","","","17.7%","-0.04","","","","","35.4%","-5.82","","","18.4%","7.81","","","","","24.1%","0.30","","","","","1","6.0","13804"
"Daniel Hudson","Nationals","2.70","20.8%","7.02","6.25","5.17","1.20","200","74.3%","0.72","","","","","","","","","","","17.4%","1.56","2.3%","5.65","","","","","6.0%","0.07","","","","","0","","7146"
"Jeffrey Springs","Red Sox","1.76","18.8%","7.04","4.69","4.19","1.76","196","","","","","","","","","","","47.4%","0.40","27.9%","-3.59","","","","","","","24.7%","3.83","","","","","0","","17677"
"Dylan Covey","Red Sox","0.00","0.0%","7.11","1.93","3.47","1.26","56","5.1%","-0.45","","","6.4%","17.46","","","","","18.0%","-4.02","43.6%","-1.86","3.9%","-1.28","","","","","23.1%","4.09","","","","","0","","14825"
"David Bednar","Padres","1.42","10.0%","7.11","4.61","5.65","2.05","78","59.3%","-1.70","","","","","26.3%","2.62","","","","","","","14.4%","-3.30","","","","","","","","","","","0","","19569"
"Luke Weaver","Diamondbacks","2.21","16.1%","7.12","5.37","5.17","1.66","440","50.1%","-0.60","","","14.3%","0.25","","","","","","","","","7.8%","-3.09","","","","","27.8%","2.32","","","","","9","36.2","16918"
"Derek Holland","Pirates","2.80","26.8%","7.13","6.56","4.78","1.44","386","3.5%","-2.55","","","","","","","","","43.2%","0.20","","","","","35.9%","0.59","","","17.5%","0.96","","","","","5","26.1","4141"
"Anthony DeSclafani","Reds","1.80","17.9%","7.20","6.43","6.02","1.76","265","28.0%","-3.84","","","","","","","","","23.0%","1.77","30.0%","1.46","","","10.9%","0.65","","","8.0%","1.16","","","","","6","25.0","13050"
"Franklyn Kilome","Mets","2.70","30.0%","7.20","6.99","5.04","1.70","110","7.2%","1.21","","","","","","","","","45.3%","1.71","","","32.0%","-2.64","","","","","15.5%","-1.85","","","","","0","","17861"
"Jhoulys Chacin","Braves","1.80","11.1%","7.20","6.39","7.31","1.80","59","8.7%","3.54","","","","","","","","","33.7%","0.74","","","48.9%","1.21","","","","","8.7%","-15.89","","","","","0","","2608"
"Kolby Allard","Rangers","1.26","9.5%","7.22","4.83","5.88","1.43","338","45.3%","0.89","","","32.2%","1.41","","","","","","","","","10.6%","1.30","","","","","11.9%","2.13","","","","","7","28.2","18694"
"Kyle Funkhouser","Tigers","1.56","20.0%","7.27","5.96","5.40","1.90","190","28.8%","-0.29","","","","","","","","","32.9%","-2.79","31.4%","4.38","","","","","","","6.9%","2.03","","","","","0","","19456"
"Tarik Skubal","Tigers","2.08","17.4%","7.27","5.79","5.38","1.50","202","61.0%","-0.35","","","","","","","","","","","17.6%","5.39","6.9%","-0.56","","","","","14.6%","-1.05","","","","","5","17.1","22267"
"Heath Hembree","- - -","4.50","30.8%","7.31","8.94","5.62","1.63","194","58.2%","-2.62","","","","","","","","","","","33.2%","-0.24","8.6%","3.26","","","","","","","","","","","0","","11632"
"Jose Quijada","Angels","2.45","33.3%","7.36","5.92","3.97","2.18","57","68.5%","0.36","","","","","","","","","","","20.2%","4.91","","","","","","","11.2%","-7.48","","","","","0","","19200"
"Humberto Castellanos","Astros","1.86","22.2%","7.45","6.19","5.32","1.55","117","29.6%","2.73","","","","","","","","","20.4%","-5.92","10.8%","4.21","24.7%","3.17","","","","","14.5%","3.61","","","","","0","","21183"
"Daniel Ponce de Leon","Cardinals","2.87","27.8%","7.47","7.91","6.01","1.91","210","60.2%","-0.66","","","15.4%","2.92","","","","","","","","","20.6%","1.58","","","","","3.9%","1.43","","","","","5","15.1","16110"
"Michael Wacha","Mets","2.25","18.8%","7.50","5.06","4.42","1.75","309","40.6%","-3.17","","","28.2%","-0.37","","","","","","","","","1.3%","2.46","","","","","29.9%","0.73","","","","","6","24.0","14078"
"Wil Crowe","Nationals","4.50","27.3%","7.50","11.02","8.11","2.67","67","31.1%","-6.24","","","","","","","","","24.2%","-0.32","28.0%","-4.53","2.3%","8.62","","","","","14.4%","2.72","","","","","2","6.0","19800"
"Robbie Ray","- - -","2.82","21.1%","7.51","7.36","6.20","1.98","448","49.5%","-0.18","","","","","","","","","1.5%","0.71","32.1%","3.36","13.5%","-2.06","","","","","3.4%","-3.70","","","","","8","35.0","11486"
"Madison Bumgarner","Diamondbacks","3.76","22.9%","7.52","9.04","7.17","1.56","317","36.2%","-1.17","","","38.1%","-2.35","","","","","0.8%","1.83","","","23.4%","2.38","","","","","1.5%","-3.00","","","","","6","26.1","5524"
"Matthew Boyd","Tigers","2.68","24.5%","7.63","6.12","4.62","1.60","501","47.5%","-0.36","","","","","","","","","4.7%","-1.32","26.9%","0.42","6.2%","2.66","","","","","14.8%","0.07","","","","","9","43.2","15440"
"Jesse Chavez","Rangers","3.86","30.0%","7.71","8.48","5.70","1.71","154","7.1%","-8.83","","","33.9%","0.80","","","","","40.2%","-1.77","13.0%","4.67","","","","","","","5.9%","-11.79","","","","","0","","5448"
"Ryan Helsley","Cardinals","3.86","25.0%","7.71","9.19","6.97","1.43","58","41.6%","0.86","","","37.1%","-7.31","","","","","","","","","16.9%","16.04","","","","","4.5%","-1.61","","","","","0","","18138"
"Clarke Schmidt","Yankees","0.00","0.0%","7.71","5.76","8.27","2.57","32","23.6%","-2.21","","","","","","","","","25.5%","-5.89","43.6%","5.42","","","","","","","7.3%","-2.63","","","","","0","","19899"
"Michel Baez","Padres","0.00","0.0%","7.71","1.48","3.57","1.93","59","55.6%","-0.16","","","","","","","","","","","3.0%","4.31","","","","","","","41.4%","3.07","","","","","1","2.1","20100"
"Nivaldo Rodriguez","Astros","3.86","33.3%","7.71","9.40","6.35","2.79","65","49.0%","-1.31","","","","","","","","","","","18.3%","-6.20","30.8%","-3.48","","","","","1.9%","6.28","","","","","0","","22449"
"Brad Peacock","Astros","0.00","0.0%","7.71","3.19","5.70","1.71","35","1.7%","5.48","","","","","","","","","49.2%","1.31","33.9%","0.66","","","3.4%","1.28","","","11.9%","-16.84","","","","","0","","5401"
"Kyle Keller","Angels","0.00","0.0%","7.71","4.90","8.26","2.14","22","58.5%","-1.18","","","","","","","7.3%","16.25","","","","","34.2%","1.39","","","","","","","","","","","0","","18890"
"Jordan Lyles","Rangers","1.90","14.8%","7.80","6.14","6.20","1.64","455","45.9%","-2.42","","","","","","","","","2.4%","-0.13","9.6%","2.05","31.3%","2.89","","","","","10.8%","1.03","","","","","6","28.2","7593"
"Adam Ottavino","Yankees","1.42","16.7%","7.82","5.01","4.81","1.58","143","0.4%","5.48","","","4.3%","2.34","","","","","50.7%","3.00","39.0%","1.05","","","","","","","5.6%","-10.75","","","","","0","","1247"
"Dovydas Neverauskas","Pirates","2.25","26.7%","7.88","5.56","4.15","1.81","172","49.3%","-5.38","","","18.5%","6.94","","","","","","","","","32.1%","2.88","","","","","","","","","","","0","","11604"
"Touki Toussaint","Braves","2.08","29.4%","7.89","6.10","4.63","1.52","253","37.7%","0.35","","","","","21.7%","3.46","","","1.2%","-8.30","10.5%","-6.69","28.9%","1.13","","","","","","","","","","","4","17.2","16929"
"Ramon Rosso","Phillies","1.59","10.0%","7.94","6.01","7.17","2.12","71","64.4%","-1.91","","","","","","","","","0.9%","-3.63","32.2%","3.22","","","","","","","2.5%","12.38","","","","","0","","20368"
"Dakota Bacus","Nationals","0.79","6.7%","7.94","5.48","6.92","2.03","135","","","","","","","","","","","34.2%","1.28","60.4%","-0.68","5.3%","8.99","","","","","","","","","","","0","","14545"
"Gabe Speier","Royals","1.59","25.0%","7.94","5.48","4.57","2.29","71","21.3%","-4.30","","","","","","","","","32.8%","-0.15","23.8%","1.54","22.1%","-0.07","","","","","","","","","","","0","","17170"
"Hector Rondon","Diamondbacks","3.07","26.3%","7.98","6.94","5.04","1.98","174","46.0%","-3.45","","","","","","","","","13.4%","0.97","35.5%","0.69","","","","","","","5.1%","1.69","","","","","0","","2391"
"Austin Voth","Nationals","3.03","21.2%","7.99","7.48","6.21","1.68","381","60.1%","-1.69","","","11.7%","-5.38","3.4%","3.52","","","","","","","24.8%","2.97","","","","","","","","","","","8","32.2","15047"
"Kyle Wright","Braves","2.37","31.3%","8.05","7.77","5.99","2.21","215","30.2%","3.45","","","","","","","","","15.8%","1.28","28.0%","-0.82","10.6%","-2.11","","","","","15.5%","-2.34","","","","","5","19.0","19665"
"Wade LeBlanc","Orioles","2.42","19.4%","8.06","6.73","5.95","1.57","232","4.9%","4.27","","","27.9%","-2.66","","","","","19.1%","-3.77","","","12.8%","-1.52","","","","","35.0%","1.41","","","","","6","22.1","5221"
"Jake Odorizzi","Twins","2.70","27.3%","8.10","6.19","4.44","1.60","137","37.3%","-0.38","","","12.9%","-1.00","25.4%","-0.66","","","","","18.0%","-0.83","6.5%","-6.83","","","","","","","","","","","3","10.0","6397"
"Robbie Erlin","- - -","2.70","18.6%","8.10","6.23","5.48","1.50","287","53.2%","0.50","","","","","","","","","3.5%","-5.65","","","27.3%","-1.12","","","","","16.1%","-4.08","","","","","5","17.2","10354"
"Hunter Strickland","Mets","0.00","0.0%","8.10","1.69","2.86","1.80","39","50.8%","-1.38","","","","","","","","","6.6%","-0.56","41.0%","-0.02","","","","","","","1.6%","37.02","","","","","0","","7836"
"Chris Rusin","Braves","2.70","20.0%","8.10","7.99","7.02","2.70","36","","","","","35.6%","-6.70","","","","","42.4%","0.38","11.9%","1.64","5.1%","-13.95","","","","","5.1%","-15.70","","","","","0","","9895"
"Sam Coonrod","Giants","0.90","10.0%","8.10","4.69","5.34","1.40","116","26.3%","-3.14","","","26.3%","-1.04","","","","","29.5%","2.30","","","3.2%","2.35","","","","","14.7%","3.44","","","","","0","","17264"
"Andrew Chafin","Diamondbacks","1.35","14.3%","8.10","3.94","4.04","1.95","84","46.1%","0.16","","","","","","","","","24.8%","-3.09","29.1%","2.37","","","","","","","","","","","","","0","","12988"
"Randy Rosario","Royals","2.70","33.3%","8.10","8.29","6.15","3.00","49","8.2%","2.48","","","","","","","","","45.9%","-7.35","45.9%","1.31","","","","","","","","","","","","","0","","14508"
"Zack Godley","Red Sox","2.83","23.7%","8.16","7.10","5.61","1.95","337","5.6%","0.69","","","38.0%","0.83","","","","","8.1%","-10.65","","","","","38.2%","-1.43","","","10.1%","-3.00","","","","","7","24.2","14862"
"Jairo Diaz","Rockies","1.76","16.7%","8.22","6.45","6.20","2.35","174","40.7%","-3.15","","","","","","","","","15.1%","-0.94","44.2%","-0.79","","","","","","","","","","","","","0","","12774"
"Corey Knebel","Brewers","4.70","28.6%","8.22","9.71","6.50","1.96","92","64.3%","-1.77","","","","","","","","","0.7%","4.31","","","","","35.1%","3.69","","","","","","","","","0","","15010"
"Julio Teheran","Angels","2.30","20.6%","8.23","6.59","5.69","1.57","288","26.5%","-1.15","","","","","","","","","34.8%","2.07","18.3%","-3.81","7.8%","6.36","","","","","12.6%","-4.44","","","","","6","22.1","6797"
"Michael Fulmer","Tigers","3.20","29.2%","8.24","7.77","5.52","1.93","217","31.6%","-3.36","","","","","","","","","31.9%","0.46","20.4%","1.60","3.9%","5.45","","","","","12.3%","-1.03","","","","","7","19.2","13218"
"Sean Gilmartin","Rays","4.15","28.6%","8.31","9.65","6.81","2.54","55","24.2%","1.23","","","","","","","","","12.1%","-5.13","27.3%","4.23","8.1%","-12.77","","","","","28.3%","-6.35","","","","","0","","12781"
"Dominic Leone","Indians","2.79","37.5%","8.38","5.47","3.05","1.97","119","20.9%","-4.05","","","29.8%","-1.45","","","","","13.6%","-10.41","35.6%","5.87","","","","","","","","","","","","","0","","13763"
"Reynaldo Lopez","White Sox","2.79","23.1%","8.38","7.95","6.54","2.28","125","46.6%","-3.38","","","","","","","","","","","34.8%","3.15","","","","","","","18.6%","-3.93","","","","","4","9.2","16400"
"Antonio Santos","Rockies","1.69","14.3%","8.44","6.19","6.32","2.06","62","27.1%","1.48","","","","","","","","","37.5%","-1.34","20.8%","-3.72","2.1%","6.74","","","","","12.5%","-1.16","","","","","0","","20383"
"Joey Lucchesi","Padres","0.00","0.0%","8.44","3.00","5.20","2.44","74","","","","","17.0%","-12.45","","","","","50.0%","0.06","","","32.1%","2.05","","","","","0.9%","6.34","","","","","2","5.1","19320"
"Ivan Nova","Tigers","1.89","20.0%","8.53","6.40","5.72","1.63","184","13.4%","-4.42","","","","","","","","","45.8%","-1.08","","","25.4%","3.52","","","","","15.5%","5.92","","","","","4","19.0","1994"
"Andrew Triggs","- - -","3.68","33.3%","8.59","9.05","6.13","1.77","77","","","","","","","","","","","42.3%","-2.65","33.6%","-2.08","24.2%","6.12","","","","","","","","","","","2","4.0","13533"
"Luis Garcia","Rangers","1.23","12.5%","8.59","5.24","5.60","2.45","95","19.7%","2.79","","","","","19.1%","2.84","","","35.8%","1.30","25.4%","3.61","","","","","","","","","","","","","2","1.0","6984"
"Deolis Guerra","Phillies","3.68","37.5%","8.59","7.96","4.78","1.64","87","42.3%","-1.83","","","","","","","","","","","6.9%","12.12","10.8%","1.19","","","","","40.0%","-2.50","","","","","0","","8410"
"Rony Garcia","Tigers","3.45","25.0%","8.62","8.36","6.38","1.79","182","61.5%","-3.38","","","","","","","","","","","24.0%","-0.50","","","","","","","14.5%","2.80","","","","","2","5.0","20430"
"Steven Matz","Mets","3.38","32.1%","8.63","6.73","4.14","1.50","303","","","","","","","","","","","52.0%","0.13","3.4%","6.38","16.8%","-2.63","","","","","27.7%","-0.08","","","","","5","23.0","13361"
"Tyler Bashlor","Pirates","2.16","25.0%","8.64","7.03","5.79","1.56","78","9.8%","0.77","","","","","","","","","38.4%","-5.76","36.8%","5.41","","","","","","","15.0%","-9.27","","","","","0","","15203"
"Chi Chi Gonzalez","Rockies","1.93","28.6%","8.68","7.05","5.73","1.82","101","45.1%","0.04","","","20.6%","-2.36","","","","","17.7%","5.36","","","5.1%","-4.26","","","","","11.4%","-3.66","","","","","2","3.1","14663"
"Wilmer Font","Blue Jays","1.35","11.1%","8.78","4.16","4.85","1.95","178","59.6%","-0.87","","","","","8.0%","3.33","","","8.4%","-0.44","12.7%","-0.09","11.3%","-6.45","","","","","","","","","","","0","","5257"
"Logan Forsythe","Marlins","0.00","0.0%","9.00","6.19","12.06","3.00","19","","","","","","","","","","","","","","","100.0%","-1.04","","","","","","","","","","","0","","7185"
"Ehire Adrianza","Twins","9.00","50.0%","9.00","19.19","10.10","1.00","12","","","","","","","","","","","","","","","94.4%","3.31","","","","","5.6%","0.00","","","","","0","","8418"
"Domingo Tapia","Red Sox","9.00","33.3%","9.00","17.19","10.06","2.00","17","8.3%","12.71","66.7%","-5.51","","","","","","","","","25.0%","2.20","","","","","","","","","","","","","0","","12178"
"Nick Ramirez","Tigers","4.50","50.0%","9.00","9.19","4.64","0.50","22","9.1%","7.54","","","21.2%","7.15","","","","","27.3%","2.49","","","","","6.1%","9.58","","","36.4%","-7.25","","","","","0","","12575"
"Yacksel Rios","Pirates","0.00","0.0%","9.00","3.94","5.41","1.25","37","66.1%","2.26","","","","","","","","","","","8.1%","-6.59","16.1%","1.25","","","","","9.7%","8.17","","","","","0","","15007"
"Justin Topa","Brewers","4.50","50.0%","9.00","7.69","3.14","1.00","24","3.1%","26.81","","","","","","","","","68.8%","-6.20","28.1%","7.31","","","","","","","","","","","","","0","","15145"
"Ryne Stanek","Marlins","3.00","25.0%","9.00","7.19","5.46","1.67","31","44.2%","7.38","","","","","25.0%","-8.61","","","","","30.8%","-6.28","","","","","","","","","","","","","0","","15947"
"Jeff Brigham","Marlins","0.00","0.0%","9.00","3.19","11.01","2.00","13","68.2%","-6.35","","","","","","","","","","","31.8%","4.10","","","","","","","","","","","","","0","","16631"
"Carlos Sanabria","Astros","4.50","20.0%","9.00","12.19","10.58","3.00","26","57.1%","-2.84","","","","","","","","","","","38.8%","-2.42","","","","","","","4.1%","18.93","","","","","0","","16634"
"Richard Lovelady","Royals","9.00","50.0%","9.00","19.19","10.10","2.00","6","15.4%","12.79","","","","","","","","","15.4%","4.31","61.5%","-15.84","","","","","","","7.7%","","","","","","0","","19337"
"Santiago Espinal","Blue Jays","0.00","0.0%","9.00","6.19","12.06","2.00","16","","","","","","","","","","","","","","","73.1%","-5.41","","","","","26.9%","0.73","","","","","0","","19997"
"Ian Kennedy","Royals","4.50","31.8%","9.00","8.83","5.40","1.79","178","49.8%","-0.78","","","31.8%","-2.90","","","","","0.4%","4.31","","","","","10.7%","-6.59","","","7.3%","1.44","","","","","1","2.0","6986"
"Luke Bard","Angels","3.00","12.5%","9.00","5.52","6.40","1.67","33","50.0%","-1.07","","","","","","","","","","","45.7%","-5.53","","","","","","","4.4%","5.91","","","","","0","","14288"
"Sam Gaviglio","Blue Jays","0.00","0.0%","9.00","7.52","11.43","2.67","31","1.5%","-3.63","","","","","","","","","49.3%","0.33","23.9%","3.13","20.9%","6.01","","","","","4.5%","-32.01","","","","","0","","12778"
"Jeff Hoffman","Rockies","0.57","6.3%","9.19","3.44","4.61","1.66","172","53.3%","-0.31","","","","","","","","","","","","","18.0%","3.12","","","","","28.7%","-1.74","","","","","0","","17432"
"Robert Stephenson","Reds","6.75","55.6%","9.45","10.69","3.58","1.35","81","31.4%","-1.62","","","","","5.1%","-31.57","","","","","63.6%","-1.55","","","","","","","","","","","","","0","","13594"
"Carlos Rodon","White Sox","1.59","14.3%","9.53","5.31","5.43","1.76","62","45.4%","5.07","","","","","","","","","","","29.9%","-6.83","","","","","","","24.7%","-2.47","","","","","2","5.2","16137"
"Marcus Walden","Red Sox","2.38","25.0%","9.53","7.60","6.23","2.29","139","12.3%","2.04","","","38.9%","-4.83","","","","","26.6%","0.07","22.1%","1.60","","","","","","","","","","","","","0","","8004"
"Robert Gsellman","Mets","2.57","21.1%","9.64","7.55","6.49","2.14","162","19.2%","-2.41","","","","","","","","","45.3%","0.74","21.4%","-1.74","6.9%","0.39","","","","","7.3%","1.15","","","","","4","9.1","13696"
"Brian Moran","- - -","1.93","33.3%","9.64","6.83","5.30","2.57","58","58.3%","-0.91","","","0.9%","","","","","","0.9%","-3.63","2.6%","2.73","37.4%","1.40","","","","","","","","","","","0","","9646"
"Josh Taylor","Red Sox","2.45","22.2%","9.82","7.28","6.13","1.64","88","42.5%","-2.37","","","","","","","","","9.6%","1.18","48.0%","4.22","","","","","","","","","","","","","0","","17359"
"Jeff Samardzija","Giants","3.95","18.8%","9.88","9.48","8.35","1.61","154","15.5%","-7.01","","","23.8%","-5.54","20.6%","1.66","","","15.5%","-3.18","24.6%","3.06","","","","","","","","","","","","","3","13.2","3254"
"Zack Littell","Twins","7.11","45.5%","9.95","14.40","7.53","2.37","74","54.7%","-5.95","","","","","","","","","","","37.6%","-1.88","","","","","","","7.7%","-9.12","","","","","0","","15823"
"Trevor Gott","Giants","5.40","25.9%","10.03","11.93","8.66","1.80","119","70.1%","-1.14","","","","","","","","","","","0.5%","7.07","25.8%","-0.91","","","","","3.7%","11.26","","","","","0","","15046"
"Javier Guerra","Padres","0.68","11.1%","10.13","3.71","4.06","2.25","155","0.4%","5.48","","","","","","","","","67.7%","-2.54","27.2%","2.51","","","","","","","4.7%","-2.01","","","","","0","","17292"
"Ken Giles","Blue Jays","3.38","33.3%","10.13","8.81","6.14","2.63","36","37.9%","-2.58","","","","","","","","","","","62.1%","1.34","","","","","","","","","","","","","0","","12910"
"Sterling Sharp","Marlins","1.69","33.3%","10.13","7.88","6.54","2.25","61","15.3%","-2.38","","","","","","","","","67.6%","2.14","","","4.5%","-11.33","","","","","12.6%","-0.16","","","","","0","","19671"
"Anthony Banda","Rays","1.29","11.1%","10.29","6.90","7.56","2.14","84","42.5%","-1.16","","","5.0%","-0.87","","","","","","","","","0.7%","7.07","","","","","51.8%","-0.44","","","","","0","","14706"
"Phillip Diehl","Rockies","3.00","25.0%","10.50","6.69","4.96","1.33","72","52.6%","0.47","","","","","","","","","2.6%","7.36","44.0%","-4.61","","","","","","","0.9%","5.48","","","","","0","","20030"
"Robert Dugger","Marlins","3.24","18.8%","10.80","7.63","6.70","2.04","101","44.4%","-3.74","0.6%","4.31","","","","","","","10.6%","-13.31","24.4%","-1.86","16.3%","0.11","","","","","3.8%","-0.67","","","","","1","3.1","19191"
"Stephen Strasburg","Nationals","1.80","14.3%","10.80","5.59","5.73","1.80","52","44.6%","-3.07","","","","","","","","","1.2%","-38.36","","","33.7%","4.11","","","","","20.5%","-0.07","","","","","2","5.0","10131"
"Joe Jimenez","Tigers","4.20","31.8%","10.80","9.46","6.26","1.73","182","63.0%","-1.60","","","","","","","","","","","28.2%","0.99","","","","","","","8.8%","-9.74","","","","","0","","15761"
"Josh D. Smith","Marlins","5.40","100.0%","10.80","11.59","4.96","1.80","24","41.9%","-10.89","","","","","","","","","25.6%","0.06","32.6%","2.22","","","","","","","","","","","","","0","","13629"
"Trevor Kelley","Phillies","5.40","40.0%","10.80","8.89","4.02","2.70","49","","","","","","","","","","","54.6%","-3.59","28.6%","1.15","15.6%","-15.07","","","","","1.3%","6.34","","","","","0","","18454"
"Edgar Garcia","Rays","5.40","28.6%","10.80","13.99","10.30","2.10","37","52.8%","5.44","","","","","","","","","1.4%","5.92","40.3%","2.75","1.4%","0.00","","","","","4.2%","1.97","","","","","0","","19276"
"Zack Burdi","White Sox","4.91","50.0%","11.05","8.51","3.55","1.91","106","43.5%","-3.51","","","","","","","","","6.6%","1.48","36.3%","-3.61","","","","","","","13.7%","3.33","","","","","0","","19159"
"Josh James","Astros","3.18","23.5%","11.12","9.81","8.15","2.56","138","57.6%","-1.24","","","","","","","","","","","25.2%","3.71","2.7%","0.91","","","","","14.5%","0.19","","","","","2","6.0","16794"
"Trent Thornton","Blue Jays","0.00","0.0%","11.12","2.66","5.77","3.18","85","37.4%","-1.64","","","20.6%","-7.50","10.7%","3.39","","","5.3%","11.00","23.7%","-4.83","2.3%","9.83","","","","","","","","","","","3","5.2","17948"
"Sean Newcomb","Braves","2.63","20.0%","11.20","7.51","6.56","1.90","173","54.0%","0.13","","","","","","","","","","","9.7%","3.79","16.3%","-1.06","","","","","20.0%","2.79","","","","","4","13.2","16943"
"Hansel Robles","Angels","1.98","15.0%","11.20","5.90","5.90","1.98","167","43.7%","-2.77","","","","","","","","","7.8%","-0.76","13.4%","0.00","","","","","","","35.1%","0.57","","","","","0","","11801"
"Ariel Jurado","Mets","2.25","16.7%","11.25","5.44","5.12","2.25","53","22.6%","-9.56","","","","","","","","","27.4%","-6.46","31.0%","1.43","3.6%","-2.47","","","","","15.5%","5.30","","","","","1","4.0","17030"
"Matt Harvey","Royals","4.09","35.7%","11.45","9.01","5.59","2.64","133","53.8%","-1.35","","","","","","","","","","","22.0%","-7.49","13.9%","-3.81","","","","","10.3%","1.70","","","","","4","9.1","11713"
"Rex Brothers","Cubs","7.71","100.0%","11.57","13.90","4.44","2.14","27","50.0%","-2.23","","","","","","","","","1.8%","4.31","48.2%","-0.67","","","","","","","","","","","","","0","","9794"
"Bobby Wahl","Brewers","7.71","33.3%","11.57","13.48","7.36","1.71","24","50.0%","-7.10","","","2.6%","-3.63","","","","","","","47.4%","-5.57","","","","","","","","","","","","","0","","14832"
"Ashton Goudeau","Rockies","5.79","50.0%","11.57","12.83","6.99","2.79","48","44.0%","-11.01","","","","","","","","","","","","","28.0%","-4.27","","","","","28.0%","-1.04","","","","","0","","15139"
"Joseph Palumbo","Rangers","3.86","50.0%","11.57","8.33","4.44","2.57","36","57.6%","-2.36","","","","","","","","","","","","","42.4%","6.09","","","","","","","","","","","0","","17035"
"Carlos Martinez","Cardinals","3.68","30.0%","12.27","7.96","5.31","2.18","103","32.0%","-0.24","","","2.0%","2.73","","","","","22.9%","-9.89","27.5%","-0.85","","","","","","","15.7%","-0.29","","","","","2","7.1","11682"
"Chad Sobotka","Braves","0.00","0.0%","12.27","3.74","7.47","2.18","48","55.6%","3.72","","","7.4%","-3.09","","","","","","","37.0%","-1.38","","","","","","","","","","","","","0","","17470"
"Ronald Bolanos","Royals","4.91","50.0%","12.27","12.46","7.50","3.00","41","45.2%","-6.49","","","","","","","","","15.1%","-0.56","28.8%","-5.15","9.6%","-7.11","","","","","1.4%","5.92","","","","","2","3.2","20041"
"Kirby Yates","Padres","2.08","25.0%","12.46","5.27","4.07","2.54","63","64.4%","2.41","","","","","35.6%","-5.51","","","","","","","","","","","","","","","","","","","0","","9073"
"Aaron Fletcher","Mariners","2.08","25.0%","12.46","9.19","7.99","3.23","62","","","","","","","","","","","65.3%","-2.26","21.5%","2.02","","","","","","","13.2%","-1.97","","","","","0","","22052"
"Eric Lauer","Brewers","1.93","12.5%","12.54","6.40","6.97","2.25","113","52.3%","-0.99","","","23.6%","-1.39","","","","","","","11.1%","1.13","8.5%","0.16","","","","","4.5%","-26.93","","","","","2","6.2","19316"
"Justin Shafer","Marlins","3.18","14.3%","12.71","8.66","8.90","2.12","61","39.3%","-0.93","","","","","","","","","15.2%","-0.43","37.5%","-1.93","8.0%","6.94","","","","","","","","","","","0","","16132"
"Mike Montgomery","Royals","4.50","33.3%","13.50","8.69","5.12","2.50","27","21.7%","-5.46","","","37.0%","1.47","","","","","15.2%","1.93","","","13.0%","-18.25","","","","","13.0%","4.46","","","","","1","2.0","4869"
"Luke Farrell","Rangers","2.70","33.3%","13.50","7.99","5.85","2.70","53","35.4%","-2.90","","","","","","","","","","","39.0%","-1.57","24.4%","3.89","","","","","1.2%","-2.47","","","","","0","","15101"
"Dereck Rodriguez","Giants","4.50","18.2%","13.50","10.94","9.82","3.25","59","54.4%","-5.91","","","15.2%","-0.36","","","","","","","","","30.4%","-3.42","","","","","","","","","","","0","","14509"
"Paul Sewald","Mets","1.50","12.5%","13.50","7.19","7.63","2.67","73","59.7%","-2.87","","","","","","","","","","","33.3%","0.36","","","","","","","7.0%","9.82","","","","","0","","13892"
"Seth Romero","Nationals","3.38","33.3%","13.50","7.69","5.01","3.00","42","42.4%","-1.71","","","","","","","","","","","37.9%","3.44","","","","","","","19.7%","-11.60","","","","","0","","21333"
"Chris Devenski","Astros","2.45","33.3%","14.73","6.46","4.52","2.73","57","38.5%","-10.30","","","","","","","","","","","18.7%","3.05","","","","","","","42.9%","3.96","","","","","0","","12763"
"Zac Grotz","Mariners","4.91","36.4%","14.73","15.33","11.17","3.00","111","","","","","","","20.3%","-0.76","","","53.0%","0.47","5.9%","-6.07","20.8%","-9.48","","","","","","","","","","","0","","18256"
"Brooks Kriske","Yankees","2.45","50.0%","14.73","8.10","5.62","2.73","62","68.8%","-0.40","","","","","","","","","","","7.3%","2.56","","","","","","","23.9%","6.75","","","","","0","","21189"
