Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Jose Quijada (15405683),Jose Quijada,15405683,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,1.48
RP,Artie Lewicki (15405688),Artie Lewicki,15405688,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,4.35
RP,Kevin Ginkel (15405690),Kevin Ginkel,15405690,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,1.45
RP,Travis Bergen (15405702),Travis Bergen,15405702,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,3.33
RP,Kyle Keller (15405731),Kyle Keller,15405731,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,0.12
RP,Riley Smith (15405735),Riley Smith,15405735,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,6.28
RP,Hector Yan (15405746),Hector Yan,15405746,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,0
RP,Luis Frias (15405747),Luis Frias,15405747,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
SP,Chris Rodriguez (15405752),Chris Rodriguez,15405752,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,0
SP,Tommy Henry (15405782),Tommy Henry,15405782,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
SP,Jeremy Beasley (15405793),Jeremy Beasley,15405793,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,1.55
SP,Reid Detmers (15405794),Reid Detmers,15405794,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,0
RP,Garrett Stallings (15405801),Garrett Stallings,15405801,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,0
SP,Levi Kelly (15405812),Levi Kelly,15405812,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
SP,Josh Green (15405813),Josh Green,15405813,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
SP,Bryce Jarvis (15405821),Bryce Jarvis,15405821,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
SP,Blake Walston (15405825),Blake Walston,15405825,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
SP,Adam Seminaris (15405827),Adam Seminaris,15405827,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,0
RP,Jake McGee (15405468),Jake McGee,15405468,P,4000,LAD@SD 09/15/2020 09:10PM ET,LAD,4.22
RP,Craig Stammen (15405471),Craig Stammen,15405471,P,4000,LAD@SD 09/15/2020 09:10PM ET,SD,1.89
RP,Pedro Baez (15405494),Pedro Baez,15405494,P,4000,LAD@SD 09/15/2020 09:10PM ET,LAD,1.95
OF,AJ Pollock (15405509),AJ Pollock,15405509,OF,4000,LAD@SD 09/15/2020 09:10PM ET,LAD,7.77
RP,Pierce Johnson (15405519),Pierce Johnson,15405519,P,4000,LAD@SD 09/15/2020 09:10PM ET,SD,3.54
RP,Trevor Rosenthal (15405522),Trevor Rosenthal,15405522,P,4000,LAD@SD 09/15/2020 09:10PM ET,SD,4.10
RP,Dylan Floro (15405524),Dylan Floro,15405524,P,4000,LAD@SD 09/15/2020 09:10PM ET,LAD,2.79
RP,Kirby Yates (15405535),Kirby Yates,15405535,P,4000,LAD@SD 09/15/2020 09:10PM ET,SD,1.19
RP,Scott Alexander (15405539),Scott Alexander,15405539,P,4000,LAD@SD 09/15/2020 09:10PM ET,LAD,2.69
RP,Edubray Ramos (15405542),Edubray Ramos,15405542,P,4000,LAD@SD 09/15/2020 09:10PM ET,LAD,0
RP,Adam Kolarek (15405556),Adam Kolarek,15405556,P,4000,LAD@SD 09/15/2020 09:10PM ET,LAD,3.76
RP,Blake Treinen (15405560),Blake Treinen,15405560,P,4000,LAD@SD 09/15/2020 09:10PM ET,LAD,2.96
RP,Javy Guerra (15405638),Javy Guerra,15405638,P,4000,LAD@SD 09/15/2020 09:10PM ET,SD,0.67
RP,Taylor Williams (15405644),Taylor Williams,15405644,P,4000,LAD@SD 09/15/2020 09:10PM ET,SD,2.84
RP,Emilio Pagan (15405652),Emilio Pagan,15405652,P,4000,LAD@SD 09/15/2020 09:10PM ET,SD,2.25
